,index,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,century,objectnumber,labeltext,culture,objectid,dimensions
40,92,88,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2006-08-18T14:45:54-04:00,Modern and Contemporary Art,,0,2011.0,Photographs,,,"Negative, gelatin silver (film)",,,Untitled (children in cowboy and Indian costumes),Transfer,,1975,Department of Photographs,1975,"[{'role': 'Artist', 'birthplace': 'Pennsylvania', 'gender': 'unknown', 'displaydate': '1916 - 1985', 'prefix': None, 'culture': 'American', 'displayname': 'Mary Lowber Tiers', 'alphasort': 'Tiers, Mary Lowber', 'name': 'Mary Lowber Tiers', 'personid': 22495, 'deathplace': 'Florida', 'displayorder': 1}]",20th century,4.2002.15858.2,,American,315653,3 x 3.5 cm (1 3/16 x 1 3/8 in.)
41,93,89,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2006-08-18T14:45:54-04:00,Modern and Contemporary Art,,1,2011.0,Photographs,,,"Negative, gelatin silver (film)",,,Untitled (children in cowboy and Indian costumes),Transfer,,1975,Department of Photographs,1975,"[{'role': 'Artist', 'birthplace': 'Pennsylvania', 'gender': 'unknown', 'displaydate': '1916 - 1985', 'prefix': None, 'culture': 'American', 'displayname': 'Mary Lowber Tiers', 'alphasort': 'Tiers, Mary Lowber', 'name': 'Mary Lowber Tiers', 'personid': 22495, 'deathplace': 'Florida', 'displayorder': 1}]",20th century,4.2002.15858.3,,American,315654,3 x 3.5 cm (1 3/16 x 1 3/8 in.)
42,94,90,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2006-08-18T14:45:54-04:00,Modern and Contemporary Art,,12,2011.0,Photographs,,,"Negative, gelatin silver (film)",,,Untitled (children in cowboy and Indian costumes),Transfer,,1975,Department of Photographs,1975,"[{'role': 'Artist', 'birthplace': 'Pennsylvania', 'gender': 'unknown', 'displaydate': '1916 - 1985', 'prefix': None, 'culture': 'American', 'displayname': 'Mary Lowber Tiers', 'alphasort': 'Tiers, Mary Lowber', 'name': 'Mary Lowber Tiers', 'personid': 22495, 'deathplace': 'Florida', 'displayorder': 1}]",20th century,4.2002.15858.4,,American,315655,3 x 3.5 cm (1 3/16 x 1 3/8 in.)
43,95,41,,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Melvin R. Seiden",2006-10-18T16:21:51-04:00,European and American Art,,22,,Photographs,,,Albumen silver print,The sitters are possibly the Lt. Colonel George Ferguson and Mrs. Ferguson and child.,"Album page with four albumen silver prints bordered with ink, paint and graphite decorations.","Untitled (four photographs, clockwise from the top center, The Indian Hunter; Madame La Colonelle, 1863; The Young Guardsman at 9 months. March/63; The Colonel in Canada. 1863)",Purchase,"Seiden & de Cuevas, Inc., New York, NY, purchased from Christie's, 1978, Gift to the Fogg Art Museum, 1982. On Long Term Loan to the Fogg Art Museum from 1978 to 1982
",1862-1888,Department of Photographs,1888,"[{'role': 'Artist', 'birthplace': None, 'gender': 'female', 'displaydate': '1838-1903', 'prefix': None, 'culture': 'British', 'displayname': 'Mary Georgiana Caroline Cecil Filmer', 'alphasort': 'Filmer, Mary Georgiana Caroline Cecil Lady', 'name': 'Mary Georgiana Caroline Cecil Filmer', 'personid': 34851, 'deathplace': None, 'displayorder': 1}]",19th century,P1982.359.37,,British,317513,28.9 x 23.2 cm (11 3/8 x 9 1/8 in.)
44,96,96," © Leon Polk Smith Foundation / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Gift of the Leon Polk Smith Foundation",2007-03-12T16:54:01-04:00,Modern and Contemporary Art,,38,2007.0,Drawings,,,,,"Black ink, gouache, graphite, and black crayon(?) on cream wove paper, framing line in purple ink",Untitled,Gift,,1946,Department of Drawings,1946,"[{'role': 'Artist', 'birthplace': 'Indian Territory (Chickasha, OK)', 'gender': 'male', 'displaydate': '1906 - 1996', 'prefix': None, 'culture': 'American', 'displayname': 'Leon Polk Smith', 'alphasort': 'Smith, Leon Polk', 'name': 'Leon Polk Smith', 'personid': 52163, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,2007.107,,American,318986,diameter: 25.1 cm (9 7/8 in.)
45,97,97," © Leon Polk Smith Foundation / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Gift of the Leon Polk Smith Foundation",2007-03-12T16:58:12-04:00,Modern and Contemporary Art,,12,2007.0,Drawings,,,,,"Black and purple ink, gouache, and graphite on cream laid paper, framing line in purple ink",Untitled,Gift,,1946,Department of Drawings,1946,"[{'role': 'Artist', 'birthplace': 'Indian Territory (Chickasha, OK)', 'gender': 'male', 'displaydate': '1906 - 1996', 'prefix': None, 'culture': 'American', 'displayname': 'Leon Polk Smith', 'alphasort': 'Smith, Leon Polk', 'name': 'Leon Polk Smith', 'personid': 52163, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,2007.108,,American,318987,diameter: 25.4 cm (10 in.)
46,98,98," © Leon Polk Smith Foundation / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Gift of the Leon Polk Smith Foundation",2007-03-12T16:58:12-04:00,Modern and Contemporary Art,,12,2007.0,Drawings,,,,,Graphite and purple ink on off-white wove paper,Untitled,Gift,,1946,Department of Drawings,1946,"[{'role': 'Artist', 'birthplace': 'Indian Territory (Chickasha, OK)', 'gender': 'male', 'displaydate': '1906 - 1996', 'prefix': None, 'culture': 'American', 'displayname': 'Leon Polk Smith', 'alphasort': 'Smith, Leon Polk', 'name': 'Leon Polk Smith', 'personid': 52163, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,2007.109,,American,318988,37.2 x 27.8 cm (14 5/8 x 10 15/16 in.)
49,101,67,"© Annu Palakunnathu Matthew courtesy sepiaEYE, NYC","Harvard Art Museums/Fogg Museum, Kenyon C. Bolton III Fund",2008-02-21T16:51:12-05:00,Modern and Contemporary Art,,24,2008.0,Photographs,,,Pigment print,,Archival pigment print,Indian with White Man,Purchase,,2007,Department of Photographs,2007,"[{'role': 'Artist', 'birthplace': 'England', 'gender': 'female', 'displaydate': 'born 1964', 'prefix': None, 'culture': 'American', 'displayname': 'Annu Palakunnathu Matthew', 'alphasort': 'Matthew, Annu Palakunnathu', 'name': 'Annu Palakunnathu Matthew', 'personid': 51583, 'deathplace': None, 'displayorder': 1}]",21st century,2008.3.10,,American,324132,sheet: 30.1 x 48.3 cm (11 7/8 x 19 in.)
53,105,61,,"Harvard Art Museums/Fogg Museum, Transfer from the Peabody Museum of Archaeology and Ethnology, Harvard University, gift of the Estate of Belle J. Bushnell, 1946",2009-08-06T17:20:33-04:00,European and American Art,,18,2024.0,Paintings,,,,,Oil on paper,"Waneta, of the Ihanktonowan Dakota Oyate / Yankton Sioux Tribe of Dakota",Transfer,"Probably the Smithsonian Institution, Washington, D.C. [1] to David I. Bushnell, Jr. in exchange for a wampum necklace and a wristlet, August 1918; to his mother, Belle J. Bushnell; her bequest to Peabody Museum of Archaeology and Ethnology, 1946 (added to accession 41-72), transferred; to Harvard Art Museums, 2024

Notes
[1] The works were in Catlin's studio/living quarters at the Smithsonian Institution (in the turret of the ""Castle"" building) at the time of his death. As his wife and several children predeceased him, and because the Smithsonian had the works on hand when several years later, the family that held the contents of his original ""Indian Gallery"" gifted those to create the definitive Catlin collection, and there is no record of a sale, probated will, transfer, or auction between the family and the Smithsonian, it seems most likely the Smithsonian claimed his studio contents as its property. 
",1868,"Department of American Paintings, Sculpture & Decorative Arts",1868,"[{'role': 'Artist', 'birthplace': 'Wilkes-Barre, PA', 'gender': 'unknown', 'displaydate': '1796-1872', 'prefix': None, 'culture': None, 'displayname': 'George Catlin', 'alphasort': 'Catlin, George', 'name': 'George Catlin', 'personid': 54913, 'deathplace': 'Jersey City, NJ', 'displayorder': 1}]",19th century,2024.145,,American,332957,"41.9 × 29.8 cm (16 1/2 × 11 3/4 in.)
frame: 58.9 × 47.2 × 9.9 cm (23 3/16 × 18 9/16 × 3 7/8 in.)"
54,106,62,,"Harvard Art Museums/Fogg Museum, Transfer from the Peabody Museum of Archaeology and Ethnology, Harvard University, gift of the Estate of Belle J. Bushnell, 1946",2009-08-06T17:20:33-04:00,European and American Art,,0,2024.0,Paintings,,,,,Oil on paper,"[Hongs-káy-dee (Great Chief)], eldest son of [Shoo-de-ga-cha (The Smoke)], Chief of the Ponca Nation",Transfer,"Probably the Smithsonian Institution, Washington, D.C. [1] to David I. Bushnell, Jr. in exchange for a wampum necklace and a wristlet, August 1918; to his mother, Belle J. Bushnell; her bequest to Peabody Museum of Archaeology and Ethnology, 1946 (added to accession 41-72), transferred; to Harvard Art Museums, 2024

Notes
[1] The works were in Catlin's studio/living quarters at the Smithsonian Institution (in the turret of the ""Castle"" building) at the time of his death. As his wife and several children predeceased him, and because the Smithsonian had the works on hand when several years later, the family that held the contents of his original ""Indian Gallery"" gifted those to create the definitive Catlin collection, and there is no record of a sale, probated will, transfer, or auction between the family and the Smithsonian, it seems most likely the Smithsonian claimed his studio contents as its property. 
",1868,"Department of American Paintings, Sculpture & Decorative Arts",1868,"[{'role': 'Artist', 'birthplace': 'Wilkes-Barre, PA', 'gender': 'unknown', 'displaydate': '1796-1872', 'prefix': None, 'culture': None, 'displayname': 'George Catlin', 'alphasort': 'Catlin, George', 'name': 'George Catlin', 'personid': 54913, 'deathplace': 'Jersey City, NJ', 'displayorder': 1}]",19th century,2024.144,,American,332958,"41.9 × 29.8 cm (16 1/2 × 11 3/4 in.)
frame: 59.6 × 47.6 × 9.9 cm (23 7/16 × 18 3/4 × 3 7/8 in.)"
59,111,10,"© Stephen E. Coit, AB 1971, MBA 1977","Harvard University Portrait Collection, Harvard Foundation Portraiture Project",2010-12-15T13:42:53-05:00,Modern and Contemporary Art,,181,,Paintings,,,,"Caleb Cheeshahteamuck was a member of the Wampanoag tribe, and the first Native American Indian to graduate from Harvard College in 1665.",Oil on canvas,Caleb Cheeshahteamuck,Not Recorded,"Commissioned from the artist by the Harvard Foundation, 2010.",2010,Harvard University Portrait Collection,2010,"[{'role': 'Artist', 'birthplace': 'Beverly, MA', 'gender': 'male', 'displaydate': 'born 1948', 'prefix': None, 'culture': 'American', 'displayname': 'Stephen E. Coit', 'alphasort': 'Coit, Stephen E.', 'name': 'Stephen E. Coit', 'personid': 24213, 'deathplace': None, 'displayorder': 1}, {'role': 'Sitter', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': 'Native American', 'displayname': 'Caleb Cheeshahteamuck', 'alphasort': 'Cheeshahteamuck, Caleb', 'name': 'Caleb Cheeshahteamuck', 'personid': 56120, 'deathplace': None, 'displayorder': 2}]",21st century,H854,,American,337219,"118.1 x 91.4 cm (46 1/2 x 36 in.)
framed: 143.5 x 118.1 cm (56 1/2 x 46 1/2 in.)"
60,112,90,,"Harvard Art Museums/Fogg Museum, Collection of Didi & David Barrett ‘71",2011-04-12T11:04:23-04:00,European and American Art,,354,2011.0,Drawings,,,,,Graphite and colored pencil on ruled off-white wove paper (ledger paper),Kiowa Warriors in Regalia,Gift,"[Cavin-Morris, Inc., New York, NY], sold; to Didi and David Barrett (1997-2011), gift; to the Harvard Art Museums, 2011.",c. 1890,"Department of American Paintings, Sculpture & Decorative Arts",1895,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Unidentified Artist', 'alphasort': 'Unidentified Artist', 'name': 'Unidentified Artist', 'personid': 34147, 'deathplace': None, 'displayorder': 1}]",19th century,2011.68,,Plains Indian,337454,"sight: 19 x 31.4 cm (7 1/2 x 12 3/8 in.)
framed: 39.6 x 52.4 cm (15 9/16 x 20 5/8 in.)"
61,113,91,,"Harvard Art Museums/Fogg Museum, Collection of Didi & David Barrett ‘71",2011-04-12T11:04:24-04:00,European and American Art,,238,2011.0,Drawings,,,,,Watercolor on ruled off-white wove paper (ledger paper),"Cheyenne Indian Ledger Drawing, Rider with Green Headdress Shoots Buffalo",Gift,"[Morningstar Gallery, Santa Fe, NM], sold; to Didi and David Barrett, gift; to the Harvard Art Museums, 2011.",c. 1880,"Department of American Paintings, Sculpture & Decorative Arts",1880,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Unidentified Artist', 'alphasort': 'Unidentified Artist', 'name': 'Unidentified Artist', 'personid': 34147, 'deathplace': None, 'displayorder': 1}]",19th century,2011.69,,Plains Indian,337455,"14.5 x 18.2 cm (5 11/16 x 7 3/16 in.)
framed: 32.5 x 34.5 cm (12 13/16 x 13 9/16 in.)"
62,114,92,,"Harvard Art Museums/Fogg Museum, Collection of Didi & David Barrett ‘71",2011-04-12T11:04:24-04:00,European and American Art,,120,2011.0,Drawings,,,,,Graphite and colored pencil on ruled off-white wove paper (ledger paper),Battle Scene between Plains Indians and U.S. Troops,Gift,"[Cavin-Morris, Inc., New York, NY], sold; to Didi and David Barrett (1997-2011), gift; to the Harvard Art Museums, 2011.",c. 1890,"Department of American Paintings, Sculpture & Decorative Arts",1895,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Unidentified Artist', 'alphasort': 'Unidentified Artist', 'name': 'Unidentified Artist', 'personid': 34147, 'deathplace': None, 'displayorder': 1}]",19th century,2011.70,,Plains Indian,337456,"sight: 25 x 29.5 cm (9 13/16 x 11 5/8 in.)
framed: 46 x 49.7 cm (18 1/8 x 19 9/16 in.)"
63,115,6,,"Harvard Art Museums/Straus Center for Conservation and Technical Studies, Alan Burroughs Collection of X-Radiographs",2013-02-27T13:51:35-05:00,,,1,,Photographs,,,,"X-Radiograph Description: Print

Burroughs Number: 3408

X-Radiograph(s) of: 
Artist: Copley, John Singleton (called Nathaniel Smibert), American, 1738-1815
Title: Indian
Owner: Bowdoin College Museum of Art, Brunswick, ME
",,"X-radiograph(s) of ""Indian""",Not Recorded,,,Straus Center for Conservation and Technical Studies,0,"[{'role': 'Related name', 'birthplace': 'Boston, MA', 'gender': 'male', 'displaydate': '1738 - 1815', 'prefix': 'Artist of original:', 'culture': 'American', 'displayname': 'Artist of original: John Singleton Copley', 'alphasort': 'Copley, John Singleton', 'name': 'John Singleton Copley', 'personid': 33430, 'deathplace': 'London, England', 'displayorder': 1}]",,Straus.7537,,,347030,
68,120,15,,"Harvard Art Museums/Fogg Museum, Acquisition Fund for Prints",2017-01-13T16:16:45-05:00,European and American Art,,19,2017.0,Prints,,,Lithograph,,,G. H. C. Melody and the Ioway Indians,Purchase,"[Donald  A. Heald, New York], sold; to Harvard Art Museums, 2017",c. 1845,Department of Prints,1850,"[{'role': 'Printer', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': 'Printed by', 'culture': None, 'displayname': 'Printed by T. Morel', 'alphasort': 'Morel, T.', 'name': 'T. Morel', 'personid': 63868, 'deathplace': None, 'displayorder': 1}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': 'Published by', 'culture': 'French', 'displayname': 'Published by Bertauts', 'alphasort': 'Bertauts', 'name': 'Bertauts', 'personid': 63944, 'deathplace': None, 'displayorder': 2}]",19th century,2017.20,,American,357462,"image: 27.2 × 43.5 cm (10 11/16 × 17 1/8 in.)
sheet: 38.9 × 47.5 cm (15 5/16 × 18 11/16 in.)"
69,121,32,,"Harvard Art Museums/Fogg Museum, Gift of Drew Gilpin Faust",2017-10-04T14:13:05-04:00,Modern and Contemporary Art,,1,2017.0,Photographs,,,,,Collotype,Navaho Indian Woman,Gift,"Laura Gilpin Studio, Santa Fe, NM, sold; to Tyson Gilpin (1970s), gift; to Drew Gilpin Faust, gift; to the Harvard Art Museums, 2017.",1930s,Department of Photographs,1939,"[{'role': 'Artist', 'birthplace': 'Colorado Springs, CO', 'gender': 'female', 'displaydate': '1891 - 1979', 'prefix': None, 'culture': 'American', 'displayname': 'Laura Gilpin', 'alphasort': 'Gilpin, Laura', 'name': 'Laura Gilpin', 'personid': 64681, 'deathplace': 'Santa Fe, NM', 'displayorder': 1}]",20th century,2017.188.5,,American,359845,postcard: 14 × 8.9 cm (5 1/2 × 3 1/2 in.)
70,122,33,,"Harvard Art Museums/Fogg Museum, Gift of Drew Gilpin Faust",2017-10-04T14:14:05-04:00,Modern and Contemporary Art,,0,2017.0,Photographs,,,,,Collotype,Indian Ovens,Gift,"Laura Gilpin Studio, Santa Fe, NM, sold; to Tyson Gilpin (1970s), gift; to Drew Gilpin Faust, gift; to the Harvard Art Museums, 2017.",1920s-1930s,Department of Photographs,1939,"[{'role': 'Artist', 'birthplace': 'Colorado Springs, CO', 'gender': 'female', 'displaydate': '1891 - 1979', 'prefix': None, 'culture': 'American', 'displayname': 'Laura Gilpin', 'alphasort': 'Gilpin, Laura', 'name': 'Laura Gilpin', 'personid': 64681, 'deathplace': 'Santa Fe, NM', 'displayorder': 1}]",20th century,2017.189.1,,American,359846,postcard: 14 × 8.9 cm (5 1/2 × 3 1/2 in.)
71,123,35,,"Harvard Art Museums/Fogg Museum, Gift of Drew Gilpin Faust",2017-10-04T14:14:05-04:00,Modern and Contemporary Art,,0,2017.0,Photographs,,,,,Collotype,Taos Indian Woman,Gift,"Laura Gilpin Studio, Santa Fe, NM, sold; to Tyson Gilpin (1970s), gift; to Drew Gilpin Faust, gift; to the Harvard Art Museums, 2017.",1920s-1930s,Department of Photographs,1939,"[{'role': 'Artist', 'birthplace': 'Colorado Springs, CO', 'gender': 'female', 'displaydate': '1891 - 1979', 'prefix': None, 'culture': 'American', 'displayname': 'Laura Gilpin', 'alphasort': 'Gilpin, Laura', 'name': 'Laura Gilpin', 'personid': 64681, 'deathplace': 'Santa Fe, NM', 'displayorder': 1}]",20th century,2017.189.3,,American,359848,postcard: 14 × 8.9 cm (5 1/2 × 3 1/2 in.)
72,124,17,,"Harvard Art Museums/Straus Center for Conservation and Technical Studies, Gift of John Erdman and Gary Schneider",2018-01-11T12:04:19-05:00,,,0,2017.0,Photographs,,,"Negative, glass plate",,,Untitled (Man in Indian Costume and Seated Woman),Gift,,,Straus Center for Conservation and Technical Studies,0,,,2017.97.41.286,,,360930,17.2 × 12.6 cm (6 3/4 × 4 15/16 in.)
77,129,54,"© Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Harvard Art Museums/Busch-Reisinger Museum, The Willy and Charlotte Reber Collection, Louise Haskell Daly Fund",1997-12-06T00:00:00-05:00,Modern and Contemporary Art,,13,1995.0,Multiples,,,Lithograph,,Lithograph printed in colored ink on paper,"Untitled (Indian shot with arrows) from the portfolio ""Spur I""",Purchase,,1974,Busch-Reisinger Museum,1974,"[{'role': 'Artist', 'birthplace': 'Krefeld, Germany', 'gender': 'male', 'displaydate': '1921 - 1986', 'prefix': None, 'culture': 'German', 'displayname': 'Joseph Beuys', 'alphasort': 'Beuys, Joseph', 'name': 'Joseph Beuys', 'personid': 27839, 'deathplace': 'Düsseldorf, Germany', 'displayorder': 1}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': 'Published by', 'culture': None, 'displayname': 'Published by Propyläen Verlag', 'alphasort': 'Propyläen Verlag', 'name': 'Propyläen Verlag', 'personid': 51088, 'deathplace': None, 'displayorder': 2}]",20th century,1995.305.4,,German,219221,52 x 72 cm (20 1/2 x 28 3/8 in.)
78,130,9,"© Rune Mields / Artists Rights Society (ARS), New York","Harvard Art Museums/Busch-Reisinger Museum, Gift of the Galerie Carol Johnssen through the German Art Dealers Association",1997-12-06T00:00:00-05:00,Modern and Contemporary Art,,16,1994.0,Drawings,,,,,Black fiber-tip ink and graphite on white wove paper,Genesis:  The Five Hairs of the One Old Man (America/Thompson Indians),Gift,,1993,Busch-Reisinger Museum,1993,"[{'role': 'Artist', 'birthplace': 'Münster, Germany', 'gender': 'unknown', 'displaydate': 'born 1935', 'prefix': None, 'culture': 'German', 'displayname': 'Rune Mields', 'alphasort': 'Mields, Rune', 'name': 'Rune Mields', 'personid': 34760, 'deathplace': None, 'displayorder': 1}]",20th century,1994.130,,German,219397,77 x 57 cm (30 5/16 x 22 7/16 in.)
79,131,25,,"Harvard Art Museums/Fogg Museum, Bequest of Edwin H. Abbot",2003-03-21T00:00:00-05:00,European and American Art,,2,1966.0,Vessels,,,,Bulbous circular with two twisted wire scroll handles.,Silver,Two-handled Cup,Bequest,"George C. Gebelein, Boston, about 1940 [1]. Edwin Hale Abbot Jr., Cambridge, MA, bequest; to Fogg Art Museum, 1966.

[1] According to a paper label attached to the piece, this was found in an Indian grave on the Tusker Farm, Heneage, NY, prior to 1940",1669-1670,"Department of Paintings, Sculpture & Decorative Arts",1670,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '17th century', 'prefix': None, 'culture': 'British, English', 'displayname': ""Maker's mark EC"", 'alphasort': ""Maker's mark EC"", 'name': ""Maker's mark EC"", 'personid': 20062, 'deathplace': None, 'displayorder': 1}]",17th century,1966.51.14,,British,227962,"6.7 × 12.7 × 7.9 cm (2 5/8 × 5 × 3 1/8 in.)
89 g"
82,134,36,"© José Clemente Orozco / Artists Rights Society (ARS), New York / SOMAAP, Mexico","Harvard Art Museums/Fogg Museum, Louise E. Bettens Fund",1997-10-23T00:00:00-04:00,Modern and Contemporary Art,,63,1953.0,Prints,,,Lithograph,,,The Franciscan and the Indian,Purchase,"[E. Weyhe Gallery, New York, New York], sold; to Fogg Art Museum, 1953.",1929,Department of Prints,1929,"[{'role': 'Artist', 'birthplace': 'Cuidad Guzmán, Mexico', 'gender': 'male', 'displaydate': '1883 - 1949', 'prefix': None, 'culture': 'Mexican', 'displayname': 'José Clemente Orozco', 'alphasort': 'Orozco, José Clemente', 'name': 'José Clemente Orozco', 'personid': 27917, 'deathplace': 'Mexico City, Mexico', 'displayorder': 1}]",20th century,M12830,,Mexican,253351,image: 31.2 x 26.5 cm (12 5/16 x 10 7/16 in.)
85,137,55,,"Harvard Art Museums/Fogg Museum, Gift of James N. Rosenberg",1997-10-21T00:00:00-04:00,Modern and Contemporary Art,,30,1929.0,Prints,,,Monotype,,,"Lo, the Poor Indian",Gift,,19th-20th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': 'Kansas City, MO', 'gender': 'male', 'displaydate': '1874 - 1958', 'prefix': None, 'culture': 'American', 'displayname': 'Eugene Higgins', 'alphasort': 'Higgins, Eugene', 'name': 'Eugene Higgins', 'personid': 25678, 'deathplace': 'New York, NY', 'displayorder': 1}]",19th-20th century,M4564,,American,256115,
86,138,28,,"Harvard Art Museums/Fogg Museum, Gift of Paul J. Sachs",1997-10-21T00:00:00-04:00,Modern and Contemporary Art,,15,1928.0,Prints,,,Woodcut,,,Taos Indian (Fat John?),Gift,"Paul J. Sachs, Cambridge, Massachusetts, gift; to Fogg Art Museum, March 1, 1928.",1927,Department of Prints,1927,"[{'role': 'Artist', 'birthplace': 'Springfield, Massachusetts', 'gender': 'male', 'displaydate': '1901 - 1980', 'prefix': None, 'culture': 'American', 'displayname': 'Howard Norton Cook', 'alphasort': 'Cook, Howard Norton', 'name': 'Howard Norton Cook', 'personid': 31662, 'deathplace': 'Santa Fe, New Mexico', 'displayorder': 1}]",20th century,M3417,,American,257507,"block: 30.5 x 25.4 cm (12 x 10 in.)
sheet: 37 x 27 cm (14 9/16 x 10 5/8 in.)"
87,139,22,,"Harvard Art Museums/Fogg Museum, Gift of Charles H. Taylor",1997-10-21T00:00:00-04:00,European and American Art,,6,1927.0,Prints,,,Baxter process,,,Indian Settlement,Gift,,19th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1804 - 1867', 'prefix': None, 'culture': 'British', 'displayname': 'George Baxter', 'alphasort': 'Baxter, George', 'name': 'George Baxter', 'personid': 31197, 'deathplace': None, 'displayorder': 1}]",19th century,M3205,,British,257601,
88,140,12,,"Harvard Art Museums/Fogg Museum, Gift of Misses Margaret and Mary F. Edson",1997-10-21T00:00:00-04:00,European and American Art,,6,1935.0,Prints,,,Etching,,,"Indian Homes, Gila River, Arizona",Gift,,19th-20th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1859 - 1939', 'prefix': None, 'culture': 'American', 'displayname': 'George Elbert Burr', 'alphasort': 'Burr, George Elbert', 'name': 'George Elbert Burr', 'personid': 31447, 'deathplace': None, 'displayorder': 1}]",19th-20th century,M8305,,American,257891,
89,141,21,,"Harvard Art Museums/Fogg Museum, Gift of Charles H. Taylor",1997-10-21T00:00:00-04:00,European and American Art,,13,1927.0,Prints,,,Baxter process,,,Mountain Stream (Indians Reposing),Gift,,19th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1804 - 1867', 'prefix': None, 'culture': 'British', 'displayname': 'George Baxter', 'alphasort': 'Baxter, George', 'name': 'George Baxter', 'personid': 31197, 'deathplace': None, 'displayorder': 1}]",19th century,M3246,,British,258100,
90,142,90,,"Harvard Art Museums/Fogg Museum, Gift of Samuel Mantell",1997-10-21T00:00:00-04:00,Modern and Contemporary Art,,4,,Prints,,,Lithograph,,,Miss American Indian,Gift,"Samuel Mantell, Plainview, New York, gift; to Fogg Art Museum, 1978.",20th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1901 - 1978', 'prefix': None, 'culture': 'American', 'displayname': 'Richard Lindner', 'alphasort': 'Lindner, Richard', 'name': 'Richard Lindner', 'personid': 27205, 'deathplace': None, 'displayorder': 1}]",20th century,M19620,,American,258669,69.2 x 51 cm (27 1/4 x 20 1/16 in.)
91,143,4,,"Harvard Art Museums/Fogg Museum, Gift of Philip Hofer",1997-10-21T00:00:00-04:00,European and American Art,,6,1929.0,Prints,,,Etching and aquatint,,,"Mariano Ceballos, alias the Indian, Kills the Bull from His Horse",Gift,,1816,Department of Prints,1816,"[{'role': 'Artist', 'birthplace': 'Fuendetodos', 'gender': 'male', 'displaydate': '1746 - 1828', 'prefix': None, 'culture': 'Spanish', 'displayname': 'Francisco José de Goya y Lucientes', 'alphasort': 'Goya y Lucientes, Francisco José de', 'name': 'Francisco José de Goya y Lucientes', 'personid': 23169, 'deathplace': 'Bordeaux', 'displayorder': 1}]",19th century,M4403,,Spanish,259890,25 x 35 cm (9 13/16 x 13 3/4 in.)
93,145,14,,"Harvard Art Museums/Fogg Museum, Gift of Carl Pickhardt, Class of 1931",1997-10-18T00:00:00-04:00,European and American Art,,0,,Prints,,,Lithograph,,,An Indian Custom,Gift,,1844,Department of Prints,1844,"[{'role': 'Artist', 'birthplace': 'Marseille, France', 'gender': 'male', 'displaydate': '1808-1879', 'prefix': None, 'culture': 'French', 'displayname': 'Honoré-Victorin Daumier', 'alphasort': 'Daumier, Honoré-Victorin', 'name': 'Honoré-Victorin Daumier', 'personid': 34691, 'deathplace': 'Valmondois, France', 'displayorder': 1}]",19th century,M16060,,French,268938,
