,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,primaryimageurl,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,url,century,objectnumber,labeltext,culture,objectid,dimensions
133839,39,,"Harvard Art Museums/Arthur M. Sackler Museum, David M. Robinson Fund",1999-05-28T00:00:00-04:00,Asian and Mediterranean Art,"Roman Imperial period, Middle",728,1972.0,Vessels,https://nrs.harvard.edu/urn-3:huam:DDC113588_dynmc,,"This balsamarium is one of the finest examples of a class of cast Roman bronze perfume containers, usually provided with either a swinging handle at the top, as was originally the case here, or with a hinged lid to prevent spilling. A variety of satyrs, maenads, and Africans also appear as subjects for this category of perfume containers. With its inlaid silver eyes, this bust of Dionysos presents an unusually attractive and light-hearted portrayal of the god of wine, inebriation and ecstasy.

David Gordon Mitten","Cast, lost-wax process",,"Leaded bronze, silver inlay",Balsamarium (Incense Burner) in the Shape of a Bust of Bacchus,Purchase,"Charles Dikran Kelekian [private collection], Egypt, (by 1914) to; Kelekian [private collection], Paris (from 1919) to; Kelekian [private collection], New York (after the war ca. 1950), sold; to Fogg Art Museum, 1972.",2nd-3rd century CE,Department of Ancient and Byzantine Art & Numismatics,300,,https://www.harvardartmuseums.org/collections/object/311131,2nd-3rd century CE,1972.87,,Roman,311131,17.5 x 10.3 x 6.5 cm (6 7/8 x 4 1/16 x 2 9/16 in.)
134039,39,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of the Harvard-Baghdad Expedition to Kirkuk",1997-06-23T00:00:00-04:00,Asian and Mediterranean Art,Mitannian period,454,1928.0,Paintings,https://nrs.harvard.edu/urn-3:HUAM:INV027155_dynmc,,"Traces of color on the fragments suggested that many rooms of the Palace of Nuzi had been painted. Although most of the wall painting was of only a solid color, a few elaborately decorated fragments survived and were still vibrant enough to be photographed and drawn in situ. The excavators cut out and packaged a substantial portion of the mudbrick wall upon which the elaborate wall painting was executed. The hope was to carefully extract and preserve the design under more controlled laboratory conditions, but the fragments did not survive shipping intact.

Luckily, the designs had been copied by the excavation's architect Emmanuel Wilensky while still in situ, and these drawings represented the ruined wall paintings in exhibits for both the Fogg and Semitic Museums. Wilensky's original field copies have since been lost; although the Semitic Museum has photographs of these drawings taken soon after completion. Before the loss of Wilensky's drawings, however, Edward Forbes, director of the Fogg Museum, had new color copies made for the Fogg Museum.

Helen Gilman and Lucille Chabot, members of the Fogg Museum staff, created the watercolor copies of Wilensky's drawings between 1941 and 1943, using the original mudbrick fragments for color reference. The Gilman/Chabot Nuzi wall painting reproductions were framed and displayed in the Fogg Museum and other Harvard buildings between 1943 and 1992.",,"Original black, red, and white colors, although extremely faint, are still visible. The original image included geometric designs, flowers, bovines, and anthropomorphic figures (see accompanying drawing for modern color reconstruction).",Painted mud-plaster embedded in modern concrete and wood frame,"Wall Painting from Nuzi, with accompanying watercolor drawing",Gift,"Excavated from Yorghan Tepe, Iraq",1500-1350 BCE,Department of Ancient and Byzantine Art & Numismatics,-1350,,https://www.harvardartmuseums.org/collections/object/311394,2nd millennium BCE,1928.182.1,,Hurrian,311394,framed: 31.8 x 73.6 cm (12 1/2 x 29 in.)
134507,7,"© Henry Moore Foundation / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Gift of Lois Orswell",1997-07-02T00:00:00-04:00,Modern and Contemporary Art,,227,1993.0,Drawings,,,"Label from ""A Decade of Collecting: Recent Acquisitions of Prints and Drawings from 1480 to 1940,"" Fogg, 2000:
This drawing was once part of a sketchbook from 1939–40, of which forty-two pages are known. Moore filled countless notebooks with richly varied explorations of sculptural forms. The sideways stringed ""head"" at the upper right is related to a diminutive (512  inches high) lead-and-string sculpture from 1939. In the late 1930s Moore began to experiment with wax crayons and watercolor to create a resist. After drawing on the paper with transparent crayon, he would apply watercolor to the whole; the drawn areas would not ""take"" the washes and would emerge from the background. The drawing would then be embellished with ink and colored crayon to describe and animate the forms. --Miriam Stewart",,,"Watercolor, gouache, black ink, colored crayons, orange resinous ink, transparent crayon (wax resist), incised lines on off-white wove paper; verso: black chalk",Ideas for Sculpture; verso: Reclining figure on a pedestal,Gift,"[Buchholz Gallery, Curt Valentin, New York, New York], sold; to Lois Orswell, Pomfret Center, Connecticut, 1944, gift; to Harvard University Art Museums, 1993.",1940,Department of Drawings,1940,"[{'role': 'Artist', 'birthplace': 'Castleford, W. Yorks, U.K.', 'gender': 'male', 'displaydate': '1898 - 1986', 'prefix': None, 'culture': 'British', 'displayname': 'Henry Moore', 'alphasort': 'Moore, Henry', 'name': 'Henry Moore', 'personid': 27671, 'deathplace': 'Much Hadham, Herts, U.K.', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/312069,20th century,1993.232,,British,312069,42.8 x 25.4 cm (16 7/8 x 10 in.)
134868,68,,"Harvard Art Museums/Fogg Museum, Margaret Fisher Fund",2006-04-25T18:01:42-04:00,Modern and Contemporary Art,,184,2006.0,Multiples,https://nrs.harvard.edu/urn-3:HUAM:INV177753_dynmc,,"This Fluxus edition is one example of how the members of the geographically-dispersed Fluxus community could work to each other's mutual benefit. In the April, 1973 Fluxnewsletter, Maciunas sent out a call for assistance: ""We need about 50 pebbles...from specific and well described locations (country, town vicinity, which beach or shore, which sea, lake or river). This is for a large Geography box by Bob Watts, which will contain pebbles from various parts of the world....All contributors will receive a box in return."" In its emphasis on collective artistic production and worldwide geographic distribution, it is closely aligned with works like Mieko (Chieko) Shiomi's series of ""Spatial Poems"" (M26472-M26475). Where Shiomi's works existed as coordinated but ultimately ephemeral actions, gaining their physical form through the gathering of information, Watts' edition gathers physical matter itself. As is often the case, much of the work necessary to transform the object from a ""box of rocks"" into a ""Flux Atlas"" is performed by Maciunas' label design. The compartmentalization of the designation ""a flux atlas by bob watts"" on the label mirrors the structure of the box's interior. The label's graphic association with a premodern cartographic tradition both indicates that this atlas is founded on actual experience rather than on rational, scientific principles, and participates in the longstanding Fluxus appropriation of outmoded graphic idioms.",Mixed technique,"A 7-compartment transparent plastic box with offset printed labels on lid, and a second printed label on internal box top listing geographic locations. Each compartment contains a small stone keyed to locations on internal label with handwritten labels.",Mixed media,A Flux Atlas,Purchase,,1973,Department of Prints,1973,"[{'role': 'Artist', 'birthplace': 'Burlington, IA', 'gender': 'male', 'displaydate': '1923 - 1988', 'prefix': None, 'culture': 'American', 'displayname': 'Robert Watts', 'alphasort': 'Watts, Robert', 'name': 'Robert Watts', 'personid': 35031, 'deathplace': 'Martins Creek, PA', 'displayorder': 1}, {'role': 'Designer', 'birthplace': 'Kaunas, Lithuania', 'gender': 'male', 'displaydate': '1931 - 1978', 'prefix': 'Designed by', 'culture': 'American', 'displayname': 'Designed by George Maciunas', 'alphasort': 'Maciunas, George', 'name': 'George Maciunas', 'personid': 33967, 'deathplace': 'Boston, MA', 'displayorder': 2}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unidentified', 'displaydate': None, 'prefix': 'Published by', 'culture': 'American', 'displayname': 'Published by Fluxus', 'alphasort': 'Fluxus', 'name': 'Fluxus', 'personid': 26489, 'deathplace': None, 'displayorder': 3}]",https://www.harvardartmuseums.org/collections/object/312540,20th century,2006.55,,American,312540,12 x 9 x 2.5 cm (4 3/4 x 3 9/16 x 1 in.)
134885,85,"© Jim DIne / Artist Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Margaret Fisher Fund",2006-05-08T15:07:34-04:00,Modern and Contemporary Art,,582,2006.0,Prints,,,"Jim Dine's interest in tools is customarily attributed to his working in his grandfather's and then father's hardware store. Certainly tools were ideal instruments for representation in the new Pop lexicon of everyday objects. The tools depicted in ""A Tool Box"" were cut out of industrial design magazines and engineering textbooks and then screenprinted onto ten different surfaces, ranging from white paper to clear acetate to silver mylar to blue graph paper. Drawing on the model of Rauschenberg's combines, Dine then collaged objects to the prints. A comic absurdity pervades the depiction and the deployment of the tool, as well as the combination of elements in the compositions. For instance, four hammers are depicted above a huge pair of red lips.",Screen print and collage,,"Red acrylic plastic portfolio box, title page, and ten screenprints with collaged elements: nine on various papers (one mounted on board) and one on plastic sheet",A Tool Box,Purchase,,1966,Department of Prints,1966,"[{'role': 'Artist', 'birthplace': 'Cincinnati, Ohio', 'gender': 'male', 'displaydate': '1935 -', 'prefix': None, 'culture': 'American', 'displayname': 'Jim Dine', 'alphasort': 'Dine, Jim', 'name': 'Jim Dine', 'personid': 3854, 'deathplace': None, 'displayorder': 1}, {'role': 'Printer', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': 'Printed by', 'culture': None, 'displayname': 'Printed by Kelpra Studio', 'alphasort': 'Kelpra Studio', 'name': 'Kelpra Studio', 'personid': 50789, 'deathplace': None, 'displayorder': 2}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': 'Published by', 'culture': None, 'displayname': 'Published by Editions Alecto, London', 'alphasort': 'Editions Alecto, London', 'name': 'Editions Alecto, London', 'personid': 50788, 'deathplace': None, 'displayorder': 3}]",https://www.harvardartmuseums.org/collections/object/312584,20th century,2006.77,,American,312584,"portfolio case: 60.96 x 48.26 x 3.81 cm (24 x 19 x 1 1/2 in.)
sheet: 60.3 x 47.9 cm (23 3/4 x 18 7/8 in.)"
134886,86,© Ed Ruscha,"Harvard Art Museums/Fogg Museum, Gift of Jonathan O. Lee made possible by bequest of William S. Lieberman, by exchange",2006-05-09T14:24:26-04:00,Modern and Contemporary Art,,122,2007.0,Prints,https://nrs.harvard.edu/urn-3:huam:LEG005095_dynmc,,Ed Ruscha's screenprint Cheese Mold Standard with Olive is representative of the artist's work of the 1960s and 70s.  Ruscha's vernacular images of Standard gas stations and other commercial logos imbued with a feeling of deadpan irony brought him to prominence as a leader of West Coast pop art in the 1960s.  Here Ruscha recasts the classic American landscape with a palette of phosphorescent blue-greens and irrationally places the image of a cocktail olive onto the upper right edge of the image.,Screen print,,,Cheese Mold Standard with Olive (Standard Station),Partial Gift/Partial Purchase,,1969,Department of Prints,1969,"[{'role': 'Artist', 'birthplace': 'Omaha, NE', 'gender': 'male', 'displaydate': 'born 1937', 'prefix': None, 'culture': 'American', 'displayname': 'Edward Ruscha', 'alphasort': 'Ruscha, Edward', 'name': 'Edward Ruscha', 'personid': 28417, 'deathplace': None, 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/312592,20th century,2007.1,,American,312592,"image: 48.26 x 93.98 cm (19 x 37 in.)
sheet: 65.41 x 101.92 cm (25 3/4 x 40 1/8 in.)"
136993,93,© Glenn Ligon,"Harvard Art Museums/Fogg Museum, Margaret Fisher Fund",2006-06-23T10:04:25-04:00,Modern and Contemporary Art,,2283,2006.0,Prints,,,"During their March 1968 strike, the black sanitation workers of Memphis, Tennessee carried placards printed with the words ""I AM A MAN."" Ernest Withers immortalized the protest and its slogan in a photograph that has become an iconic document of the civil rights movement in the south. (Martin Luther King was assassinated when he went to Memphis to show his support for the strikers.) Glenn Ligon co-opted the format of the strike poster and its declarative statement for a 1988 painting, putting further emphasis on the assertion by underlining its verb, ""I AM A MAN."" This printed diptych is based on the earlier painting and a fictive condition report that identifies such aberrations as ""dark spots"" and ""brown smudges"" on the painting. Besides pointing to the history of African-American oppression, Ligon's prints reference the artistic commodification of that oppression by the art world.",Iris digital print,"Condition Report consists of two parts (A (left) and B (right)), sheets identical in size, one Iris digital print and one Iris digital print with serigraph.",,Condition Report,Purchase,"[Sikkema Jenkins & Company, New York, New York], sold; to Harvard University Art Museums, June 2006.",2000,Department of Prints,2000,"[{'role': 'Artist', 'birthplace': 'Bronx, NY', 'gender': 'male', 'displaydate': 'born 1960', 'prefix': None, 'culture': 'American', 'displayname': 'Glenn Ligon', 'alphasort': 'Ligon, Glenn', 'name': 'Glenn Ligon', 'personid': 33623, 'deathplace': None, 'displayorder': 1}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': 'Published by', 'culture': None, 'displayname': 'Published by Sikkema Jenkins & Co.', 'alphasort': 'Sikkema Jenkins & Co.', 'name': 'Sikkema Jenkins & Co.', 'personid': 6225, 'deathplace': None, 'displayorder': 2}]",https://www.harvardartmuseums.org/collections/object/314875,21st century,2006.78.A,,American,314875,Sheet: 81.3 x 57.8 cm (32 x 22 3/4 in.)
136994,94,© Glenn Ligon,"Harvard Art Museums/Fogg Museum, Margaret Fisher Fund",2006-06-23T10:09:54-04:00,Modern and Contemporary Art,,501,2006.0,Prints,,,"During their March 1968 strike, the black sanitation workers of Memphis, Tennessee carried placards printed with the words ""I AM A MAN."" Ernest Withers immortalized the protest and its slogan in a photograph that has become an iconic document of the civil rights movement in the south. (Martin Luther King was assassinated when he went to Memphis to show his support for the strikers.) Glenn Ligon co-opted the format of the strike poster and its declarative statement for a 1988 painting, putting further emphasis on the assertion by underlining its verb, ""I AM A MAN."" This printed diptych is based on the earlier painting and a fictive condition report that identifies such aberrations as ""dark spots"" and ""brown smudges"" on the painting. Besides pointing to the history of African-American oppression, Ligon's prints reference the artistic commodification of that oppression by the art world.",Iris digital print,"Condition Report consists of two parts (A (left) and B (right)), sheets identical in size, one Iris digital print and one Iris digital print with serigraph.",Iris digital print with serigraph,Condition Report,Purchase,"[Sikkema Jenkins & Company, New York, New York], sold; to Harvard University Art Museums, June 2006.",2000,Department of Prints,2000,"[{'role': 'Artist', 'birthplace': 'Bronx, NY', 'gender': 'male', 'displaydate': 'born 1960', 'prefix': None, 'culture': 'American', 'displayname': 'Glenn Ligon', 'alphasort': 'Ligon, Glenn', 'name': 'Glenn Ligon', 'personid': 33623, 'deathplace': None, 'displayorder': 1}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': 'Published by', 'culture': None, 'displayname': 'Published by Sikkema Jenkins & Co.', 'alphasort': 'Sikkema Jenkins & Co.', 'name': 'Sikkema Jenkins & Co.', 'personid': 6225, 'deathplace': None, 'displayorder': 2}]",https://www.harvardartmuseums.org/collections/object/314876,21st century,2006.78.B,,American,314876,Sheet: 81.3 x 57.8 cm (32 x 22 3/4 in.)
137286,86,,"Harvard Art Museums/Fogg Museum, Anonymous Loan",2006-07-11T09:53:01-04:00,Modern and Contemporary Art,,215,,Prints,https://nrs.harvard.edu/urn-3:HUAM:INV163243_dynmc,,"Like Dr. Martin Luther when he nailed his 95 Theses to the door of the Castle Church in Wittenberg in 1517, the Harvard Students for a Democratic Society (SDS) tacked a list of six demands on the door of President Nathan Pusey's 17 Quincy Street house at midnight, April 9, 1969. The demands included the abolition of ROTC at Harvard, more scholarships, lower rent for those living in university-owned apartments, and the promise that occupied housing would not be demolished for the construction of new Harvard buildings. Disgruntled with the administration's lack of response, the student protestors stormed University Hall that day at noon and ordered all deans and administrative staff to vacate the building. State troopers and local police forcibly removed the demonstrators just before dawn the following morning. 145 Harvard and Radcliffe students were arrested. In the wake of the police action, Harvard students decided to strike until their demands were met. Two more demands were added to the original six: that student protestors not be punished and that Black Studies be added to the curriculum.

Printing became the protestors' most powerful tool. They published documents purloined from the deans' offices in the underground newspaper, Old Mole. Graduate School of Design students established the Strike Poster Workshop in the Great Space of Robinson Hall. They chose the red fist as the symbol of their dissent, designed silkscreens and cut stencils, and printed the fist on paper, t-shirts, and arm bands. The April 13 issue of the Old Mole stated, ""The GSD people in Robinson Hall will silkscreen a red fist on anything you bring in: t-shirt, jacket, poster, your ass. They are working practically all the time."" The workshop created a variety of strike poster designs with an assortment of protest slogans, including ""End ROTC,"" ""Maybe They Can't Hear Us, Strike a Little Louder,"" and ""12345678 STRIKE."" Students carried them during rallies, posted them on trees, buildings, and other facades across the Yard and Square. Photographs of the turmoil appeared in the national press, including the New York Times and Life magazine. The publicity photographs often featured the printed materials of the Strike Poster Workshop. In the aftermath of the strike, some of the protesters' demands were met-ROTC was eliminated, the charges against the students who occupied University Hall were dropped, and Black Studies was made a field of concentration.
	",Screen print,Cloth arm band with printed red fist,"Poster, screenprint on fabric",Arm Band,Not Recorded,,1969,Department of Prints,1969,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Strike Poster Workshop', 'alphasort': 'Strike Poster Workshop', 'name': 'Strike Poster Workshop', 'personid': 50996, 'deathplace': None, 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/315190,20th century,4.2007,,American,315190,overall: 64.3 x 9 cm (25 5/16 x 3 9/16 in.)
137287,87,"© Milton Avery / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Gift of Donald Ottenstein, Harvard College Class of 1942 in memory of Deborah Abelson",2006-07-11T16:44:27-04:00,Modern and Contemporary Art,,79,2006.0,Prints,,,"Besides making paintings and drawings, Avery had always made prints-especially drypoints and woodcuts. After having a heart attack in 1950, the artist began making monotypes as a less strenuous alternative to painting. Between 1950 and 1956, he made well over 200 monotypes. His process was somewhat rudimentary. He applied oil washes to glass plates with brushes, rages, and even his fingers, and usually printed them with the back of a spoon. He also applied a base of turpentine on the glass to keep the paint from drying to quickly, causing the paint to puddle and pool in unpredictable ways. In this case, the murky pooling of the pigment serves as the perfect underwater environment in which to place the pastel-colored fish.",Monotype,,Monotype and gouache on paper,Three Fish,Gift,,1950,Department of Prints,1950,"[{'role': 'Artist', 'birthplace': 'Altmar, NY', 'gender': 'male', 'displaydate': '1885 - 1965', 'prefix': None, 'culture': 'American', 'displayname': 'Milton Avery', 'alphasort': 'Avery, Milton', 'name': 'Milton Avery', 'personid': 20845, 'deathplace': 'New York, NY', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/315193,20th century,2006.143,,American,315193,Sheet: 61 × 91.4 cm (24 × 36 in.)
137300,0,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Carroll F. Wales",2006-07-13T12:14:09-04:00,Asian and Mediterranean Art,"Byzantine period, Early",61,2002.0,Textile Arts,https://nrs.harvard.edu/urn-3:HUAM:INV103601_dynmc,,"Crux ansatae can also be found on Harvard’s 1975.41.28. For their use in Egypt, see Gillian E. Bowen's “The Crux Ansata in Early Christian Iconography: The Evidence from Dakhleh and Kharga Oases.” In Le myrte et la rose: Mélanges offerts à Françoise Dunand par ses élèves, collègues et amis, 291-. Edited by Gaëlle Tallet et Christiane Zivie-Coche. Montpellier: Université de Paul Valéry, 2014.","Woven, mixed technique","Crux ansata/ankh and partial Greek inscription tapestry woven in colored wool. Letters present are eta, lunate sigma, theta, (omicron?)... This is mostly likely a votive inscription requesting protection for particular individual(s). The crux ansata is a symbol adopted early by Christians in Egypt, primarily because of the ancient Egyptian ankh’s meaning ‘life.’ This crux ansata is white with an indigo border and has flared ends; its loop is filled in with yellow around an indigo dot. The symbol is surrounded by red dots. The letters are alternately red and indigo, with white centers. Areas of interlock tapestry in the letters keep the slits around them closed. The white fill in the letters is created by supplementary weft wrapping (flying shuttle), as is the white and yellow within the crux ansata. A buff tabby background surrounds the inscription. Strongly eccentric wefts are visible around the letters.","Linen and wool, tapestry woven",Fragment with Crux Ansata and Inscription,Gift,,5th-6th century,Department of Ancient and Byzantine Art & Numismatics,0,,https://www.harvardartmuseums.org/collections/object/315207,5th-6th century,2002.318.12,,Byzantine,315207,
137301,1,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Carroll F. Wales",2006-07-13T12:14:09-04:00,Asian and Mediterranean Art,"Byzantine period, Early",29,2002.0,Textile Arts,https://nrs.harvard.edu/urn-3:HUAM:INV103602_dynmc,,Compare the paired lotus leaves and flowers to those on 1931.42,"Woven, tapestry weave","A floral semis pattern is oriented toward a bust portrait in medallion on this tapestry woven band. Female bust with black hair, red earrings and necklace against an orange background with red border. Red and yellow flowers with green stems appear against a buff background. Two lotus leaves are visible. The linen warps are paired.","Wool and linen, tapestry woven",Fragment: Floral Pattern and Bust Portrait,Gift,,5th-7th century,Department of Ancient and Byzantine Art & Numismatics,0,,https://www.harvardartmuseums.org/collections/object/315208,5th-7th century,2002.318.13,,Byzantine,315208,
137302,2,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Carroll F. Wales",2006-07-13T12:14:09-04:00,Asian and Mediterranean Art,"Byzantine period, Early",17,2002.0,Textile Arts,https://nrs.harvard.edu/urn-3:HUAM:INV103603_dynmc,,"Comparable with Detroit Institute of Arts 30.251, University of Toronto Art Museum M82.049 and M82.053a-b, Tropenmuseum TM-3134-34","Woven, mixed technique",A cuff band from a tunic sleeve consisting of two parallel bands of indigo and buff interlace. The interlace design is created using the ‘flying shuttle’ technique of supplementary weft wrapping in a light thread on a tapestry woven ground. The interlace vine coils are punctuated by small crosses and rosettes. Geometric designs create borders on the bands. Dovetailing closes the slits at the ends of the bands.,"Wool, tapestry woven",Cuff Band: Interlace,Gift,,5th-6th century,Department of Ancient and Byzantine Art & Numismatics,0,,https://www.harvardartmuseums.org/collections/object/315209,5th-6th century,2002.318.14,,Byzantine,315209,
137303,3,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Carroll F. Wales",2006-07-13T12:14:09-04:00,Asian and Mediterranean Art,"Byzantine period, Early",14,2002.0,Textile Arts,https://nrs.harvard.edu/urn-3:HUAM:INV103604_dynmc,,Similarities with Detroit Institute of Arts 30.243,,"Tapestry woven band representing a bust portrait and three dancers. The bust portrait is oriented perpendicularly to the orientation of the standing dancers. It is positioned in a medallion with a thick border. The bust, likely a female, stretches out a scarf displaying fruits in front of her chest. This is a common attitude for personifications of the earth or the seasons. The arrangement of the fragments in this area is uncertain.

Below the medallion are two dancers, one with arm raised and wearing a full length tunic, perhaps a maenad. A smaller figure raises his or her hands to his face (playing an instrument?). Both dancers look upwards towards the medallion with the female bust. Vine tendrils fill the interior space of the band. While most of the band features figural decoration woven with dark blue yarns against a white background, this is reversed at bottom. At bottom a white figure stands against a blue-colored square, one arm raised and the other holding an object, maybe a shepherd’s crook (pedum); the figure possibly wears a loincloth. Flying shuttle creates details of the figures. Remnants of a simple border design are visible on both sides of the bands. 
","Linen and wool, tapestry woven",Band with Medallion and Dancers,Gift,,4th century,Department of Ancient and Byzantine Art & Numismatics,400,,https://www.harvardartmuseums.org/collections/object/315210,4th century CE,2002.318.15,,Byzantine,315210,
137304,4,,"Harvard Art Museums/Fogg Museum, Acquisition Fund for Prints",2006-07-14T11:20:23-04:00,European and American Art,,305,2006.0,Prints,https://nrs.harvard.edu/urn-3:HUAM:DDC250746_dynmc,,"When Hendrick Goltzius died in 1617, he left behind two painted self-portraits, described by his wife in her inventory of his estate. One of the self-portraits pictured him as being ""completely bourgeois, with a small black cap on his head."" Using the painting as his model, his stepson and protégé, Jacob Matham, engraved the portrayal within an elaborate, architectural framework. The tomblike ornamentation, including the two torches at top and the skull above his head, identify the image as a funerary portrait. The image of Goltzius is flanked by allegorical representations of Spirito (artist inspiration) and Disegno (design), the two qualities that drove Goltzius' artistic genius. Impressions of the print are very rare, perhaps because it was intended as a tribute circulated within a small group of intimates and admirers.",Engraving,,Engraving printed in black ink on white antique laid paper,Hendrick Goltzius,Purchase,,1617,Department of Prints,1617,"[{'role': 'Artist', 'birthplace': 'Haarlem, Netherlands', 'gender': 'male', 'displaydate': '1571 - 1631', 'prefix': None, 'culture': 'Dutch', 'displayname': 'Jacob Matham', 'alphasort': 'Matham, Jacob', 'name': 'Jacob Matham', 'personid': 27493, 'deathplace': 'Haarlem, Netherlands', 'displayorder': 1}, {'role': 'Artist after', 'birthplace': 'Mühlbracht', 'gender': 'male', 'displaydate': '1558 - 1617', 'prefix': 'After', 'culture': 'Dutch', 'displayname': 'After Hendrick Goltzius', 'alphasort': 'Goltzius, Hendrick', 'name': 'Hendrick Goltzius', 'personid': 22794, 'deathplace': 'Haarlem, Netherlands', 'displayorder': 2}]",https://www.harvardartmuseums.org/collections/object/315211,17th century,2006.168,,Dutch,315211,plate: 44 × 29.4 cm (17 5/16 × 11 9/16 in.)
137311,11,,"Harvard Art Museums/Fogg Museum, Gift of Barbara Moore",2006-07-17T13:44:02-04:00,Modern and Contemporary Art,,91,2006.0,Multiples,,,"This is a larger version of the Robert Watts ""Flux Atlas"" already in the collection. As with so many other Fluxus editions, ""Flux Atlas"" was produced in serveral variants over the years. Unlike the version already in the collection, this object is a ""ReFlux"" edition. Maciunas tended to have a store of materials (boxes, labels, and--in this case--rocks) and would produce the theoretically unlimited Fluxus editions in batches as demand dictated.  ReFlux was founded by Barbara Moore after Maciunas's death as a way to continue, in accordance with his wishes, to publish Fluxus editions using his existing stock of materials. Because there were many more labels and box ""contents"" than there were boxes, ReFlux editions often use new boxes obtained from Maciunas's original supplier in the same configurations as the vintage editions. In order to differentiate them from the ""vintage"" editions (a slightly perverse compromise, given Maciunas's attitudes), each piece of vintage material employed is stamped or blind-stamped ""ReFlux."" In traditional terms, such objects have the conceptual status of ""authorized"" posthumous impressions of the sort issued by artists' estates.

Like it's vintage counterpart, this edition is one example of how the members of the geographically-dispersed Fluxus community could work to each other's mutual benefit. In the April, 1973 Fluxnewsletter, Maciunas sent out a call for assistance: ""We need about 50 pebbles...from specific and well described locations (country, town vicinity, which beach or shore, which sea, lake or river). This is for a large Geography box by Bob Watts, which will contain pebbles from various parts of the world....All contributors will receive a box in return."" In its emphasis on collective artistic production and worldwide geographic distribution, it is closely aligned with works like Mieko (Chieko) Shiomi's series of ""Spatial Poems"" (M26472-M26475). Where Shiomi's works existed as coordinated but ultimately ephemeral actions, gaining their physical form through the gathering of information, Watts' edition gathers physical matter itself. As is often the case, much of the work necessary to transform the object from a ""box of rocks"" into a ""Flux Atlas"" is performed by Maciunas' label design. The compartmentalization of the designation ""a flux atlas by bob watts"" on the label mirrors the structure of the box's interior. The label's graphic association with a premodern cartographic tradition both indicates that this atlas is founded on actual experience rather than on rational, scientific principles, and participates in the longstanding Fluxus appropriation of outmoded graphic idioms.",,A 24-compartment transparent plastic box with printed label on lid.  Each compartment contains a small stone and printed label identifying geographic locations.,Mixed media,A Flux Atlas,Gift,,20th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': 'Burlington, IA', 'gender': 'male', 'displaydate': '1923 - 1988', 'prefix': None, 'culture': 'American', 'displayname': 'Robert Watts', 'alphasort': 'Watts, Robert', 'name': 'Robert Watts', 'personid': 35031, 'deathplace': 'Martins Creek, PA', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/315219,20th century,2006.260,,American,315219,22.7 x 33.2 x 5.9 cm (8 15/16 x 13 1/16 x 2 5/16 in.)
137313,13,,"Harvard Art Museums/Fogg Museum, Acquisition Fund for Prints",2006-07-17T18:12:37-04:00,European and American Art,,19,2006.0,Prints,https://nrs.harvard.edu/urn-3:HUAM:INV116312_dynmc,,"Over the last few years, the collection of Netherlandish prints at the Fogg has grown in both size and importance, especially in the area of seventeenth-century landscape prints. However there are few examples of landscape prints by women artists from the period.  Landscape was one of the few genre allowable for women artists to practice-it didn't contain the indecorous elements of history or mythological subject matter. Women artists could wander close to home, sketching from nature, and then return to their studios to etch their designs on copperplates. Anna Maria de Koker was one of the more prolific landscape etchers of her time, producing twenty known landscape scenes. This one of cottages alongside a pond demonstrates her skill at capturing the details and ambiance of her surroundings.",Etching,,,The Cottages at the Pond,Purchase,,17th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': 'Monnikendam', 'gender': 'female', 'displaydate': 'c. 1650-1698', 'prefix': None, 'culture': None, 'displayname': 'Anna Maria de Koker', 'alphasort': 'Koker, Anna Maria de', 'name': 'Anna Maria de Koker', 'personid': 51019, 'deathplace': 'Amsterdam', 'displayorder': 1}]",https://www.harvardartmuseums.org/collections/object/315222,17th century,2006.81,,Dutch,315222,sheet: 15.6 x 20.3 cm (6 1/8 x 8 in.)
